Company Name,Headquarters,Website,Ratings,Average Salary,No. of Reviews,No. of Interviews
Torry Harris Integration Solutions,"Perth Amboy, NJ, United States",www.torryharris.com,4.0, 372, 598, 123
Indian Institute of Technology Bombay,Mumbai,www.iitb.ac.in,4.6, 496, 743, 69
Future Group,Mumbai,www.futuregroup.in,3.7, 477, 720, 77
Axtria,"Berkeley Heights, NJ, United States",www.axtria.com,3.7, 834, 533, 192
Shapoorji Pallonji,Colaba,www.shapoorjipallonji.com,3.8, 485, 598, 128
Technicolor,"Issy-les-Moulineaux, France",www.technicolor.com,3.5, 1.4k, 1.0k, 161
Cigniti Inc.,"Irving, TX, United States",www.cigniti.com,3.9, 1.2k, 502, 102
OMICS International,"Henderson, NV, United States",www.omicsonline.org,2.9, 391, 661, 100
Indiabulls,"Gurgaon, Haryana",www.indiabulls.com,3.1, 484, 695, 88
YMCA,"Chicago, IL, United States",www.ymca.net,3.9, 12k, 12k, 1.7k
Linde,"Guildford, England, United Kingdom",www.linde.com,3.5, 1.3k, 1.2k, 170
R Systems,Noida,www.rsystems.com,3.7, 761, 594, 123
Baxter,"Deerfield, IL, United States",www.baxter.com,3.8, 3.9k, 2.4k, 493
Compunnel,"Plainsboro, NJ, United States",www.compunnel.com,3.7, 6.5k, 295, 45
Bosch,"Farmington Hills, MI, United States",www.bosch.us,4.1, 1.9k, 1.1k, 301
Telstra,"Melbourne, Australia",www.telstra.com,3.9, 2.7k, 2.4k, 431
Walgreens,"Deerfield, IL, United States",www.walgreens.com,3.2, 29k, 20k, 3.3k
UTC Aerospace Systems,"Charlotte, NC, United States",www.utcaerospacesystems.com,3.8, 2.7k, 1.4k, 343
WeWork,"New York, NY, United States",www.wework.com,3.4, 2.6k, 1.7k, 768
Vedanta Resources,"London, England, United Kingdom",www.vedantaresources.com,3.4, 438, 558, 168
HighRadius,"Houston, TX, United States",www.highradius.com,3.8, 579, 565, 170
SS&C,"Windsor, CT, United States",www.ssctech.com,3.1, 1.8k, 1.2k, 247
iEnergizer,"Austin, TX, United States",www.ienergizer.com,3.4, 516, 668, 88
Hitachi,"Tokyo, Japan",www.hitachi.com,3.6, 1.6k, 1.3k, 176
Invesco,"Atlanta, GA, United States",www.invesco.com,3.7, 1.4k, 1.0k, 255
Publicis Groupe,"Paris, France",www.publicisgroupe.com,3.7, 2.7k, 1.8k, 257
3dplm Software Solution,Pune,www.3dplmsoftware.com,3.6, 327, 466, 246
GE Digital,"San Ramon, CA, United States",www.ge.com,3.5, 981, 868, 243
Visteon,"Belleville, MI, United States",www.visteon.com,2.9, 976, 841, 86
Samsung India Electronics,New Delhi,www.samsung.net,3.6, 507, 648, 89
State Street Syntel,Mumbai,www.syntelinc.com,3.4, 407, 610, 104
MarketsandMarkets,Pune,www.marketsandmarkets.com,3.4, 453, 575, 93
Epicor Software,"Austin, TX, United States",www.epicor.com,4.0, 1.2k, 1.3k, 220
IGT Solutions,"Gurgaon, Haryana",www.igtsolutions.com,3.3, 661, 642, 89
Bajaj Auto,Pune,www.bajajauto.com,3.6, 466, 502, 164
Xavient,"Simi Valley, CA, United States",www.xavient.com,3.4, 1.3k, 419, 93
Iron Mountain Inc,"Boston, MA, United States",www.ironmountain.com,3.4, 1.8k, 1.6k, 233
Ramco Systems,Chennai,www.ramco.com,3.8, 545, 607, 109
Impetus Technologies,"Los Gatos, CA, United States",www.impetus.com,3.9, 596, 572, 144
Government of India,Bengaluru,india.gov.in,4.2, 558, 627, 42
Marsh & McLennan Companies,"New York, NY, United States",www.mmc.com,3.9, 3.6k, 1.4k, 322
Akzo Nobel Worldwide,"Amsterdam, Netherlands",www.akzonobel.com,3.8, 2.3k, 1.5k, 220
ALTEN,"Boulogne-Billancourt, France",www.alten.com,3.2, 3.3k, 2.2k, 837
Lam Research,"Fremont, CA, United States",www.lamresearch.com,4.6, 2.0k, 1.0k, 312
Hays,"London, England, United Kingdom",www.haysplc.com,3.7, 8.0k, 3.7k, 983
Mott MacDonald,"Croydon, England, United Kingdom",www.mottmac.com,3.9, 1.6k, 1.2k, 301
D. E. Shaw India,Hyderabad,www.deshawindia.com,4.2, 410, 366, 250
Hilti Group,"Schaan, Liechtenstein",www.hilti.group,3.9, 1.2k, 1.2k, 358
Infostretch,"Santa Clara, CA, United States",www.infostretch.com,4.2, 694, 632, 112
Jet Airways,Mumbai,www.jetairways.com,4.4, 448, 599, 110
Commvault,"Tinton Falls, NJ, United States",www.commvault.com,3.7, 1.4k, 696, 209
Magneti Marelli,"Corbetta, Italy",www.magnetimarelli.com,3.6, 1.4k, 932, 118
Mylan Inc,"Hatfield, East of England, England, United Kingdom",www.mylan.com,4.0, 1.7k, 929, 175
IPsoft,"New York, NY, United States",www.amelia.com,3.0, 795, 726, 193
BMW Group,"Munich, Bayern, Germany",www.bmwgroup.com,4.2, 4.0k, 2.9k, 574
Nordstrom,"Seattle, WA, United States",www.nordstrom.com,3.7, 20k, 16k, 4.7k
Ebix,"Duluth, GA, United States",www.ebix.com,3.0, 722, 671, 104
Indegene,Bengaluru,www.indegene.com,3.6, 367, 435, 177
Perficient,"Saint Louis, MO, United States",www.perficient.com,3.9, 3.1k, 1.0k, 224
National Thermal Power,New Delhi,www.ntpc.co.in,4.2, 415, 667, 78
Merck KGaA,"Darmstadt, Germany",www.merckgroup.com,4.1, 1.3k, 1.1k, 182
Expleo Group,"Montigny-le-Bretonneux, France",www.expleogroup.com,3.9, 728, 831, 67
ninjacart,Bengaluru,www.ninjacart.in,3.3, 424, 544, 142
The Smart Cube,"London, England, United Kingdom",www.thesmartcube.com,3.9, 391, 398, 181
Zara,"Arteixo, Spain",www.zara.com,3.4, 4.8k, 4.9k, 1.0k
Quess,Bengaluru,www.quesscorp.com,3.6, 508, 552, 55
ManpowerGroup,"Milwaukee, WI, United States",www.manpowergroup.com,3.7, 1.8k, 1.4k, 195
AXA XL,"Paris, France",www.axaxl.com,3.7, 910, 775, 159
Freescale Semiconductor,"Austin, TX, United States",www.freescale.com,3.8, 1.7k, 1.0k, 179
Arista Networks,"Santa Clara, CA, United States",www.arista.com,4.2, 1.1k, 576, 486
ValueMomentum,"Piscataway, NJ, United States",www.valuemomentum.com,3.6, 1.6k, 338, 115
Appirio,"Indianapolis, IN, United States",www.appirio.com,4.1, 893, 558, 201
Mazars,"Paris, France",www.mazarsrecrute.fr,3.6, 2.7k, 1.8k, 611
IIFL,Mumbai,www.indiainfoline.com,3.1, 412, 651, 95
Pole To Win,"Larkspur, CA, United States",www.ptw.com,3.5, 566, 547, 224
GE Capital,"Norwalk, CT, United States",www.gecapital.com,3.9, 2.7k, 1.8k, 384
Tangoe,"Parsippany, NJ, United States",www.tangoe.com,3.3, 753, 760, 123
Moody's Corporation,"New York, NY, United States",www.moodys.com,3.8, 2.4k, 1.1k, 391
TSYS|Total System Services,"Columbus, GA, United States",www.tsys.com,3.2, 1.8k, 1.1k, 199
Nityo Infotech,"Pittsburgh, PA, United States",www.nityo.com,4.1, 563, 763, 84
Citco,"George Town, Cayman Islands",www.citco.com,3.3, 1.9k, 1.4k, 459
Mars,"Mc Lean, VA, United States",www.mars.com,4.2, 3.7k, 2.9k, 686
Bentley Systems,"Exton, PA, United States",www.bentley.com,4.0, 988, 787, 181
Dun & Bradstreet,"Short Hills, NJ, United States",www.dnb.com,3.5, 1.7k, 1.3k, 286
Radisson Hotel Group,"Minnetonka, MN, United States",www.radissonhotelgroup.com,3.9, 1.4k, 1.4k, 185
Magna Infotech,Bengaluru,www.magna.in,2.9, 409, 568, 107
NEC Corporation India,New Delhi,in.nec.com,3.0, 388, 489, 136
LatentView Analytics,"Princeton, NJ, United States",www.latentview.com,3.6, 680, 373, 174
DISYS,"Mc Lean, VA, United States",www.disys.com,3.6, 3.5k, 833, 130
Randstad US,"Atlanta, GA, United States",www.randstadusa.com,3.8, 8.6k, 3.6k, 682
Ugam,Mumbai,www.ugamsolutions.com,3.6, 405, 448, 171
Trianz,"Santa Clara, CA, United States",www.trianz.com,4.0, 794, 474, 87
Pyramid Consulting,"Alpharetta, GA, United States",www.pyramidci.com,3.9, 1.5k, 855, 122
Xento Systems,Pune,www.xento.com,4.0, 191, 354, 211
Kraft Heinz Company,"Chicago, IL, United States",www.kraftheinzcompany.com,3.4, 5.4k, 4.3k, 1.0k
Hindustan Petroleum,Mumbai,www.hindustanpetroleum.com,4.2, 425, 524, 114
Indeed,"Austin, TX, United States",www.indeed.com,4.3, 3.2k, 1.7k, 1.2k
upGrad,Mumbai,www.upgrad.com,3.2, 416, 584, 101
Atlas Copco,"Stockholm, Jämtland, Sweden",www.atlascopco.com,4.2, 1.2k, 976, 133
Indian Institute of Science,Bengaluru,www.iisc.ac.in,4.5, 420, 636, 67
Empower Retirement,"Greenwood Village, CO, United States",www.empower-retirement.com,4.5, 1.3k, 862, 161
OnMobile,Bengaluru,www.onmobile.com,4.0, 380, 473, 141
US Navy,"San Diego, CA, United States",www.navy.com,3.8, 21k, 18k, 1.2k
Defence Research & Development Organisation,New Delhi,www.drdo.gov.in,4.3, 312, 669, 97
Fedex Express,"Memphis, TN, United States",www.fedex.com,3.9, 4.7k, 3.4k, 445
Staples,"Framingham, MA, United States",www.staples.com,3.3, 17k, 9.8k, 1.9k
ICON,"Dublin, Co. Dublin, Ireland",www.iconplc.com,3.6, 1.7k, 1.2k, 252
Infoview Technologies Pvt Limited,Chennai,www.ivtlinfoview.com,2.8, 510, 425, 123
Globeop Financial Services,"London, England, United Kingdom",www.sscglobeop.com,3.0, 657, 537, 130
Sungard Availability Services,"Wayne, PA, United States",www.sungardas.com,3.2, 1.2k, 970, 138
Teach For India,Mumbai,www.teachforindia.org,4.2, 452, 475, 117
Airbnb,"San Francisco, CA, United States",www.airbnb.com,4.1, 2.5k, 1.5k, 971
Lear Corporation,"Southfield, MI, United States",www.lear.com,3.8, 2.3k, 1.4k, 155
Quantiphi,"Marlborough, MA, United States",www.quantiphi.com,3.6, 462, 357, 213
Square Yards,"Gurgaon, Uttar Pradesh",www.squareyards.com,3.4, 274, 705, 92
Accor,"Paris, France",www.group.accor.com,3.9, 2.5k, 1.9k, 172
Booking.com,"Amsterdam, Netherlands",www.booking.com,3.8, 5.4k, 4.5k, 1.9k
Goodwill,"Richmond, VA, United States",www.goodwillvirginia.org,3.3, 5.1k, 5.0k, 871
DHL Express,"Bonn, Germany",www.dhl.com,3.9, 3.0k, 2.0k, 310
PPD,"Wilmington, NC, United States",www.ppd.com,4.0, 3.9k, 2.0k, 488
Endurance International Group,"Burlington, MA, United States",www.endurance.com,3.9, 956, 611, 195
ICICI Lombard General Insurance Company Limited,Mumbai,www.icicilombard.com,3.7, 416, 549, 88
Cactus Communications,Mumbai,www.cactusglobal.com,3.8, 342, 714, 205
Syngenta,"Basel, Switzerland",www.syngenta.com.br,4.1, 2.1k, 1.6k, 204
GEICO,"Chevy Chase, MD, United States",www.geico.jobs,3.5, 7.7k, 5.4k, 2.9k
Max Life Insurance,"Gurgaon, Haryana",www.maxlifeinsurance.com,3.9, 439, 543, 91
HDB Financial Services,Pune,www.hdbfs.com,3.5, 468, 567, 58
Vedantu,Bengaluru,www.vedantu.com,3.4, 467, 580, 77
SanDisk,"Milpitas, CA, United States",www.sandisk.com,3.5, 1.5k, 634, 275
Vidal Healthcare,Bengaluru,www.vidalhealth.com,4.5, 242, 635, 44
Indus Valley Partners,"New York, NY, United States",www.ivp.in,3.3, 500, 297, 200
Quinnox,"Chicago, IL, United States",www.quinnox.com,3.6, 798, 395, 151
Fortinet,"Sunnyvale, CA, United States",www.fortinet.com,4.7, 1.7k, 1.1k, 380
Vestas Wind Systems,"Aarhus, Denmark",www.vestas.com,3.6, 1.1k, 948, 183
TransUnion,"Chicago, IL, United States",www.transunion.com,3.9, 1.9k, 1.1k, 328
GroupM,"New York, NY, United States",www.groupm.com,3.7, 1.3k, 899, 223
XYZ,"Santa Monica, CA, United States",www.xyz.xyz,3.9, 404, 555, 128
Sun Pharma,Mumbai,www.sunpharma.com,3.6, 780, 630, 76
Zscaler,"San Jose, CA, United States",www.zscaler.com,4.7, 631, 952, 222
Tata Teleservices,Mumbai,www.tatateleservices.com,3.8, 353, 583, 78
Teamware Solutions,Chennai,www.teamwaresolutions.net,4.5, 275, 628, 78
EFI,"Fremont, CA, United States",www.efi.com,3.4, 806, 647, 139
Daimler,"Stuttgart, Germany",www.daimler.com,4.1, 3.5k, 2.4k, 430
Bsnl,New Delhi,www.bsnl.co.in,3.7, 378, 664, 49
DENSO,"Kariya, Aichi, Japan",www.denso.com,3.5, 1.9k, 1.3k, 200
Refinitiv,"London, England, United Kingdom",www.refinitiv.com,3.7, 1.1k, 947, 128
Future Focus Infotech,Chennai,www.focusinfotech.com,3.8, 306, 605, 70
AOL,"New York, NY, United States",corp.aol.com,3.9, 2.9k, 1.5k, 289
Altair Engineering,"Troy, MI, United States",www.altair.com,4.2, 1.4k, 503, 110
NeoSOFT Technologies,Mumbai,www.neosofttech.com,3.1, 326, 449, 160
TD,"Mount Laurel, NJ, United States",www.td.com,4.0, 15k, 12k, 2.8k
AIESEC,"Montreal, QC, Canada",www.aiesec.de,4.5, 221, 1.7k, 273
IDC Technologies,"Milpitas, CA, United States",www.idctechnologies.com,3.3, 627, 649, 81
Biocon,Bengaluru,www.biocon.com,3.8, 403, 547, 108
Atlassian,"Sydney, Australia",www.atlassian.com,4.6, 1.4k, 847, 604
Jade Global,"San Jose, CA, United States",www.jadeglobal.com,4.3, 398, 437, 74
Robert Half,"Menlo Park, CA, United States",www.roberthalf.com,3.7, 11k, 8.5k, 2.3k
Bajaj Finance,Pune,www.bajajfinservlending.in,3.6, 425, 527, 60
Mindfire Solutions,New Delhi,www.mindfiresolutions.com,4.1, 374, 419, 129
Gemalto,"Amsterdam, Netherlands",www.gemalto.com,3.5, 1.3k, 1.0k, 183
Incedo,"Iselin, NJ, United States",www.incedoinc.com,3.6, 455, 480, 110
Test,"Versailles, France",www.test-sa.com,4.1, 1.2k, 513, 62
Minacs,"Fremont, CA, United States",www.concentrix.com,3.0, 643, 808, 170
eMids Technologies,"Nashville, TN, United States",www.emids.com,3.7, 314, 423, 113
US Army,"Washington, DC, United States",www.army.mil,3.9, 51k, 28k, 1.9k
IDBI Bank,Mumbai,www.idbibank.com,3.6, 387, 526, 79
One97 Communications,Noida,www.one97.com,3.5, 393, 468, 94
Worley,"North Sydney, Australia",www.worley.com,3.6, 1.9k, 1.8k, 203
CARS24.com,"Gurgaon, Haryana",www.cars24.com,4.0, 265, 463, 63
Prime Focus Technologies,Mumbai,www.primefocustechnologies.com,2.7, 337, 470, 106
Boston Scientific,"Marlborough, MA, United States",www.bostonscientific.com,4.3, 4.0k, 2.6k, 518
Nihilent,Pune,www.nihilent.com,3.4, 360, 507, 96
British Airways,"Harmondsworth, England, United Kingdom",www.ba.com,3.2, 2.1k, 1.8k, 460
BP,"London, England, United Kingdom",www.bp.com,3.3, 5.1k, 4.3k, 1.2k
Banco Bradesco,"Osasco, Brazil",www.bancobradesco.com.br,4.0, 11k, 6.1k, 1.0k
Vodafone Idea,Mumbai,www.vodafoneidea.com,3.9, 438, 582, 19
SKF,"Gothenburg, Sweden",www.skf.com,3.9, 719, 697, 88
The World Bank,"Washington, DC, United States",www.worldbank.org,4.2, 1.9k, 1.9k, 353
Xebia,"Hilversum, Netherlands",www.xebia.com,4.1, 273, 415, 121
Thermax,Pune,www.thermaxglobal.com,4.0, 358, 502, 86
People Tech Group,"Redmond, WA, United States",www.peopletechgroup.com,3.4, 640, 419, 150
GLOBALFOUNDRIES,"Santa Clara, CA, United States",www.globalfoundries.com,3.5, 3.5k, 1.9k, 450
Trigent Software,"Boston, MA, United States",www.trigent.com,3.9, 232, 484, 150
Danone,"Paris, France",www.danone.com,3.9, 3.8k, 2.5k, 534
NGA HR,"Hemel Hempstead, England, United Kingdom",www.ngahr.com,3.6, 800, 824, 101
Time Inc.,"Des Moines, IA, United States",www.meredith.com,3.5, 1.7k, 1.1k, 228
Mindlance,"Union, NJ, United States",www.mindlance.com,4.0, 1.1k, 492, 81
smartData Enterprises,"Mohali, Punjab",www.smartdatainc.com,3.7, 252, 635, 57
IIT Madras,Chennai,www.iitm.ac.in,4.5, 404, 482, 58
LSI,"San Jose, CA, United States",www.lsi.com,3.9, 1.6k, 648, 144
XPO Logistics,"Greenwich, CT, United States",www.xpo.com,3.7, 4.1k, 3.8k, 410
Groupe Renault,"Boulogne-Billancourt, France",group.renault.com,3.8, 3.6k, 2.4k, 290
"Ryan, LLC","Dallas, TX, United States",www.ryan.com,4.5, 1.2k, 1.1k, 176
Trimble,"Sunnyvale, CA, United States",www.trimble.com,4.0, 1.5k, 719, 170
Media.net,Mumbai,www.media.net,4.0, 352, 318, 168
Fresherworld.com,Bengaluru,www.freshersworld.com,4.0, 568, 348, 62
Yatra Online Pvt Ltd,"Gurgaon, Haryana",www.yatra.com,3.6, 291, 379, 67
DBOI Global Services,"Frankfurt am Main, Germany",www.db.com,4.1, 393, 404, 75
TVS Motor Company,Chennai,www.tvsmotor.in,4.1, 398, 442, 80
FireEye,"Milpitas, CA, United States",www.fireeye.com,3.6, 1.2k, 731, 190
Ellucian,"Reston, VA, United States",www.ellucian.com,4.0, 1.1k, 832, 182
Automation Anywhere,"San Jose, CA, United States",www.automationanywhere.com,3.9, 446, 529, 129
PUMA,"Herzogenaurach, Germany",about.puma.com,4.2, 1.0k, 1.0k, 195
Grofers,"Gurgaon, Haryana",www.grofers.com,4.1, 329, 384, 116
Rolta,Mumbai,www.rolta.com,2.5, 430, 436, 110
Appen,"Sydney, Australia",www.appen.com,4.1, 1.5k, 2.8k, 294
Mercedes-Benz International,"Stuttgart, Germany",www.mercedes-benz.com,4.0, 2.4k, 1.8k, 250
Softtek,"Monterrey, Nuevo León, Mexico",www.softtek.com,3.9, 1.9k, 1.3k, 138
Crossover for Work,"Austin, TX, United States",www.crossover.com,3.7, 433, 952, 474
Aakash Educational Services,New Delhi,www.aakash.ac.in,3.8, 334, 470, 60
Attra,"Melbourne, Australia",www.attra.com,3.6, 469, 340, 144
Coal India,Kolkata,www.coalindia.in,3.6, 364, 462, 85
Arcadis,"Amsterdam, Netherlands",www.arcadis.com,3.9, 2.8k, 1.8k, 258
Lupin,Mumbai,www.lupin.com,3.8, 455, 556, 65
Sify,Chennai,www.sifycorp.com,3.7, 443, 477, 70
Mastek,"Reading, England, United Kingdom",www.mastek.com,3.9, 365, 519, 92
Saama Technologies,"Campbell, CA, United States",www.saama.com,3.8, 906, 378, 89
PageGroup,"London, England, United Kingdom",www.page.com,3.8, 2.1k, 2.1k, 767
SGS,"Geneva, Switzerland",www.sgs.com,3.3, 2.3k, 1.8k, 231
LG Soft India,Bengaluru,www.lgsoftindia.com,3.8, 316, 418, 100
IKS Health,Mumbai,www.ikshealth.com,2.9, 303, 401, 88
Hotstar,Mumbai,www.hotstar.com,3.3, 138, 186, 259
Aptiv,"Dublin, Co. Dublin, Ireland",www.aptiv.com,3.7, 1.4k, 735, 149
Ivy,Hyderabad,www.ivy.global,4.1, 298, 367, 110
Nissan,"Yokohama, Aomori, Japan",www.nissan-global.com,3.6, 2.8k, 1.7k, 278
Conneqt Business Solutions,Hyderabad,www.conneqtcorp.com,3.4, 331, 465, 87
Next Education India,Hyderabad,www.nexteducation.in,3.5, 323, 443, 57
Sophos,"Abingdon, England, United Kingdom",www.sophos.com,3.6, 738, 664, 134
Daffodil Software,"Gurgaon, Haryana",www.daffodilsw.com,3.6, 237, 320, 211
Conga,"San Mateo, CA, United States",www.conga.com,3.0, 770, 760, 212
STL - Sterlite Technologies Limited,Pune,www.stl.tech,3.9, 325, 430, 72
Jobsprovider,Patna Rural,www.jobsprovider.in,, 1.0k, --, --
Luxoft,"Zug, Switzerland",www.luxoft.com,4.2, 2.0k, 1.6k, 272
Kellogg Company,"Battle Creek, MI, United States",www.kelloggcareers.com,3.8, 3.6k, 2.3k, 438
TomTom,"Amsterdam, Netherlands",www.tomtom.com,4.0, 861, 700, 190
Colliers International,"Toronto, ON, Canada",www.colliers.com,3.6, 1.8k, 1.3k, 231
Emirates,"Dubai, United Arab Emirates",www.emirates.com,3.9, 1.5k, 2.4k, 475
Infinera,"Sunnyvale, CA, United States",www.infinera.com,3.6, 901, 571, 115
GGK Tech,"Duluth, GA, United States",www.ggktech.com,3.6, 315, 317, 171
Life Insurance Corporation of India,Mumbai,www.licindia.in,4.3, 408, 462, 51
Waste Management,"Houston, TX, United States",www.wm.com,3.5, 5.6k, 2.2k, 473
Appco Group,"Hong Kong, Hong Kong",www.appcogroup.com,2.6, 212, 598, 221
Herbalife,"Los Angeles, CA, United States",www.herbalife.com,4.1, 1.5k, 1.3k, 148
Sanmina,"San Jose, CA, United States",www.sanmina.com,3.3, 1.6k, 1.1k, 135
KONE,"Espoo, Finland",www.kone.com,4.2, 807, 848, 127
GS Lab,Pune,www.gslab.com,4.0, 310, 388, 137
Bally Technologies,"Las Vegas, NV, United States",www.scientificgames.com,3.3, 732, 408, 111
Verifone,"San Jose, CA, United States",www.verifone.com,3.0, 957, 792, 150
Maxim Integrated,"San Jose, CA, United States",www.maximintegrated.com,3.9, 1.8k, 1.0k, 285
Majesco,"Morristown, NJ, United States",www.majesco.com,3.1, 641, 394, 76
TeamLease Staffing Solutions,Bengaluru,www.teamlease.com,3.4, 401, 459, 54
Digitas,"Boston, MA, United States",www.digitas.com,3.7, 2.9k, 1.3k, 394
Equifax,"Atlanta, GA, United States",www.equifax.com,3.3, 2.6k, 1.5k, 310
J Sainsbury,"London, England, United Kingdom",www.j-sainsbury.co.uk,3.7, 6.9k, 5.6k, 1.4k
Travelex,"London, England, United Kingdom",www.travelex.com,3.4, 845, 807, 125
The Times of India,New Delhi,www.timesofindia.com,3.7, 303, 531, 61
Bose,"Framingham, MA, United States",www.bose.com,3.9, 2.0k, 1.4k, 302
Aker Solutions,"Lysaker, Norway",www.akersolutions.com,3.7, 1.2k, 951, 104
WLT Group,"London, England, United Kingdom",www.wlt.com,3.4, 1.4k, 1.1k, 141
Grab,"Singapore, Singapore",www.grab.com,3.8, 1.1k, 1.2k, 388
Infiniti Research,"London, England, United Kingdom",www.infinitiresearch.com,2.8, 288, 354, 74
Quikr India,Bengaluru,www.quikr.com,3.5, 342, 400, 85
Indecomm Global Services,"Edison, NJ, United States",www.indecomm.com,3.3, 361, 434, 98
Hyundai Mobis,"Seoul, South Korea",www.mobis.co.kr,3.2, 637, 499, 156
LanceSoft,"Herndon, VA, United States",www.lancesoft.com,3.7, 1.9k, 412, 59
Bank of Baroda,Vadodara,www.bankofbaroda.com,3.7, 401, 442, 46
Alcon,"Geneva, Switzerland",www.alcon.com,3.8, 1.8k, 1.4k, 294
Lexmark International,"Lexington, KY, United States",www.lexmark.com,3.8, 1.4k, 1.2k, 163
NextGen Healthcare,"Irvine, CA, United States",www.nextgen.com,3.4, 795, 668, 129
BNP Paribas Securities Services,"Paris, France",securities.bnpparibas.com,3.8, 902, 732, 121
ByteDance,"Beijing, Beijing, China",www.bytedance.com,4.3, 666, 667, 383
Affiliated Computer Services,"Dallas, TX, United States",www.acs-inc.com,3.3, 2.2k, 1.1k, 168
T-Mobile,"Bellevue, WA, United States",www.t-mobile.com,4.0, 17k, 11k, 2.1k
Indian Railways,New Delhi,www.indianrailways.gov.in,4.1, 403, 457, 37
ACL Digital,"Santa Clara, CA, United States",www.acldigital.com,3.6, 403, 378, 62
CSG,"Denver, CO, United States",www.csgi.com,4.3, 907, 618, 113
Gap Inc.,"San Francisco, CA, United States",jobs.gapinc.com,3.7, 2.2k, 1.4k, 218
Coviam,Bengaluru,www.coviam.com,4.2, 162, 270, 145
Lenskart Solutions,"Faridabad, Haryana",www.lenskart.com,3.6, 294, 422, 69
Omega Healthcare,Bengaluru,www.omegahms.com,3.5, 330, 455, 79
Intertek,"London, England, United Kingdom",www.intertek.com,2.9, 1.9k, 1.4k, 210
Santander,"Madrid, Spain",www.santander.com,3.8, 16k, 9.5k, 1.3k
Flowserve,"Irving, TX, United States",www.flowserve.com,3.7, 1.6k, 839, 150
Tredence,"San Jose, CA, United States",www.tredence.com,3.8, 379, 281, 167
Calsoft,Pune,www.calsoftinc.com,3.4, 266, 321, 104
Aristocrat Technologies,"Sydney, Australia",www.aristocrat.com,3.8, 616, 515, 129
Aptara,"Falls Church, VA, United States",www.aptaracorp.com,3.2, 293, 445, 87
Indian Army,New Delhi,indianarmy.nic.in,4.7, 268, 357, 89
Landis+Gyr,"Zug, Switzerland",www.landisgyr.com,3.5, 783, 596, 101
ICF,"Fairfax, VA, United States",www.icf.com,3.6, 3.3k, 1.4k, 458
GLG,"New York, NY, United States",www.glginsights.com,3.6, 1.4k, 1.0k, 617
Viasat,"Carlsbad, CA, United States",www.viasat.com,4.0, 1.7k, 936, 459
Elsevier,"Amsterdam, Netherlands",www.elsevier.com,4.5, 1.9k, 1.2k, 264
TOTAL,"Courbevoie, France",www.total.com,3.9, 2.5k, 2.3k, 326
Magna International,"Aurora, ON, Canada",www.magna.com,3.8, 2.9k, 1.7k, 213
Absolutdata,"Alameda, CA, United States",www.absolutdata.com,2.5, 319, 358, 103
Stefanini,"Jaguariúna, Brazil",www.stefanini.com,3.6, 5.7k, 3.2k, 284
KocharTech,"Gurgaon, Haryana",www.kochartech.com,4.6, 224, 652, 23
XYZ Tech,Mumbai,,3.9, 614, 429, 57
SoftwareONE,"Stans, Switzerland",www.softwareone.com,4.3, 607, 592, 91
IDEMIA,"Paris, France",www.idemia.com,3.1, 638, 649, 91
Huron Consulting Group,"Chicago, IL, United States",www.huronconsultinggroup.com,4.1, 2.1k, 986, 439
Citicapital Commercial Corp,"Irving, TX, United States",www.citibank.com,3.9, 2.0k, 1.1k, 168
Bajaj Allianz General Insurance Co,Pune,www.bajajallianz.com,3.9, 307, 408, 60
Hitachi Vantara,"Santa Clara, CA, United States",www.hitachivantara.com,3.1, 1.5k, 973, 84
Weatherford,"Houston, TX, United States",www.weatherford.com,3.4, 2.3k, 1.8k, 271
Schaeffler,"Herzogenaurach, Germany",www.schaeffler.com,3.8, 1.9k, 1.1k, 144
VFS Global,"Dubai, United Arab Emirates",www.vfsglobal.com,3.3, 424, 556, 54
Collegedunia,"Gurgaon, Haryana",www.collegedunia.com,3.9, 270, 453, 94
Evelyn,New Delhi,www.evelynlearning.com,4.0, 199, 303, 191
Tracxn,Bengaluru,www.tracxn.com,3.0, 283, 331, 157
Avanade,"Seattle, WA, United States",www.avanade.com,4.0, 4.8k, 2.6k, 622
Steel Authority of India,New Delhi,www.sail.co.in,4.0, 314, 426, 55
RSM,"Chicago, IL, United States",www.rsm.global,3.8, 5.3k, 2.7k, 1.0k
Tata Consulting Engineers,Mumbai,www.tce.co.in,3.6, 332, 417, 93
Inpetro Technologies,"Houston, TX, United States",www.inpetrotechnologies.com,4.8, 602, 442, 13
Landmark Group,"Dubai, United Arab Emirates",www.landmarkgroup.com,3.6, 516, 704, 80
Maxgen Technologies,Pune,www.maxgentechnology.com,4.6, 239, 399, 117
Karvy Stock Broking,Hyderabad,www.karvyonline.com,3.2, 234, 402, 93
WebKul,Noida,www.webkul.com,4.4, 107, 198, 111
Intrado,"Omaha, NE, United States",www.intrado.com,3.6, 2.9k, 2.3k, 447
Lodha,Mumbai,www.lodhagroup.in,3.5, 309, 424, 53
Arrow Electronics,"Centennial, CO, United States",www.fiveyearsout.com,3.2, 2.5k, 1.5k, 296
Convergys India,"Gurgaon, Haryana",www.cvgindia.com,3.8, 296, 446, 74
Starwood Hotels & Resorts,"Stamford, CT, United States",www.starwoodhotels.com,4.0, 2.9k, 2.1k, 427
VVDN Technologies ,"Gurgaon, Haryana",www.vvdntech.com,3.2, 326, 353, 109
